File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
c1317086-bc61-4af3-8e12-101b12dcd7f0	88f1a796-717a-4b2c-b18e-14285fd3a36a_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-A5-A0R8	TCGA-A5-A0R8-01A	Primary Tumor
62faca49-a624-4c87-aca9-74297d0c855a	00a5c051-f9e6-4423-9712-8adb3d713c06_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-BG-A0M8	TCGA-BG-A0M8-01A	Primary Tumor
0d0d0801-d0c6-4f0e-ba9c-ab09419d4686	6c242b65-4dd2-446c-9588-350e80724bc2_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-B5-A0K6	TCGA-B5-A0K6-01A	Primary Tumor
480967de-0b5a-4e26-aab6-b0a7a2ab7891	7575a511-bd61-4606-b86f-3b4abc5d7591_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-B5-A0JY	TCGA-B5-A0JY-01A	Primary Tumor
e6685813-55cd-46d4-8874-f3b05e42566a	b5fa64b5-513e-4ea5-9370-bfccc4119e76_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-A5-A0G3	TCGA-A5-A0G3-01A	Primary Tumor
3f35d2d6-bc55-49b1-903f-7974ebe5511a	e697a22d-77d5-44e6-b98e-2d4ac01eee4b_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-BG-A0RY	TCGA-BG-A0RY-01A	Primary Tumor
7bbf6e3c-5d76-489a-ab3e-e9f015a9505b	adcddb8f-5d52-4406-bc5b-acff9c2f892b_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-AX-A06B	TCGA-AX-A06B-01A	Primary Tumor
804903db-5f0e-41bc-8198-fe79095fa645	26d7bb95-86b2-4230-aec4-4613c8eb09a6_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-A5-A0GU	TCGA-A5-A0GU-01A	Primary Tumor
be349026-dd85-4859-b86a-4637df6518b6	05234a22-3476-4c66-bbb0-45ba1f8c7e01_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-AX-A06F	TCGA-AX-A06F-01A	Primary Tumor
e3d077ab-c02d-4ab4-a1af-21c8b3810587	4ec08297-2742-45e9-84fc-3a0143024802_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-AP-A05P	TCGA-AP-A05P-01A	Primary Tumor
40e8ff5b-0719-434f-9b63-6cfe5fb9c68c	615ed526-ac5b-473f-8492-ff4078540a03_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-AP-A0L9	TCGA-AP-A0L9-01A	Primary Tumor
3f3693d8-56ba-4f4a-8e9b-d13f5d3f720c	d308ac0a-d5c9-46e3-8c9c-230a4e3679ed_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-A5-A0GX	TCGA-A5-A0GX-01A	Primary Tumor
7142a81f-6a3d-4134-964b-1d68ef49f94c	26f2ea61-a800-4428-b791-ae0242ca05cf_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-AP-A051	TCGA-AP-A051-01A	Primary Tumor
ef9c92d4-3d5a-45a3-b522-a02c6b2c89f4	26f2ea61-a800-4428-b791-ae0242ca05cf_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-AP-A051	TCGA-AP-A051-01A	Primary Tumor
8e41146a-a3f9-4bc5-a982-8f2848bfd25c	bcd02fae-24b5-4429-a215-521d117a0f1b_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-AP-A052	TCGA-AP-A052-01A	Primary Tumor
e76cc13e-ffc9-41ad-a007-9cc0d30c7955	6b6fc907-d557-4f12-a072-48c3371d96c6_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-A5-A0G9	TCGA-A5-A0G9-01A	Primary Tumor
76eb445e-67cc-48b3-b1df-d1cd19087133	23481c83-ad5f-4c8b-8d64-7cb2fd5e8440_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-AP-A0LQ	TCGA-AP-A0LQ-01A	Primary Tumor
15e5b5ea-9043-45d5-a1dd-2591b8511e00	9bcb57f2-7d03-428c-ae39-cd0743fb7fca_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-A5-A0R7	TCGA-A5-A0R7-01A	Primary Tumor
8b27bca1-84d8-49b5-8405-2e508578f700	920e9541-7dc8-4e41-abf0-df526e4207d0_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-A5-A0GJ	TCGA-A5-A0GJ-01A	Primary Tumor
c431012c-12dc-4842-a9cc-e0a0c009acd9	920e9541-7dc8-4e41-abf0-df526e4207d0_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-A5-A0GJ	TCGA-A5-A0GJ-01A	Primary Tumor
b5b26b7c-cc5a-47e2-b872-15c6677840a1	441404cb-54df-4f02-b267-0c0befc2a64b_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-BG-A0M7	TCGA-BG-A0M7-01A	Primary Tumor
cdb2ca06-574d-48c4-9c95-baf456f9fa9c	4ebc513a-755c-423f-86da-738bb2c9baaa_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-AP-A0LE	TCGA-AP-A0LE-01A	Primary Tumor
8a9e1be0-2a1a-4a8e-9c8c-57a0fffc8f3e	4ebc513a-755c-423f-86da-738bb2c9baaa_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-AP-A0LE	TCGA-AP-A0LE-01A	Primary Tumor
5d7a3446-8c54-495b-a9df-18260a4704fd	de3e2739-cd95-45a2-bfdd-4a2d72290210_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-BS-A0TE	TCGA-BS-A0TE-01A	Primary Tumor
3f5d2593-26ad-4e3c-ac25-7bef9d92566b	cbe42d04-2289-48eb-bf9c-e0c02aad9605_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-BS-A0U7	TCGA-BS-A0U7-01A	Primary Tumor
60258474-1b29-4df4-b81b-32d312327c09	5c230815-f8c7-4c55-8fc8-d8415761cf48_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-A5-A0R9	TCGA-A5-A0R9-01A	Primary Tumor
4fe5d1c2-4c5f-4234-9e5d-c56b57ec2c19	125bb62a-f1d0-450c-894c-39bcdc8b4580_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-A5-A0GH	TCGA-A5-A0GH-01A	Primary Tumor
c33dc9a0-7b05-44aa-8211-094a1ef4392c	c7bd15e9-ccac-43bd-b656-77bb6c380fbf_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-AP-A0LV	TCGA-AP-A0LV-01A	Primary Tumor
4214cd88-9979-4e0a-9f4c-39ef3fca8db7	c7bd15e9-ccac-43bd-b656-77bb6c380fbf_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-AP-A0LV	TCGA-AP-A0LV-01A	Primary Tumor
18db234b-b4ed-412f-bf3b-cc7f49a96989	d04f9fac-8506-47fa-b2f4-625e33d9292c_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-BG-A0LW	TCGA-BG-A0LW-01A	Primary Tumor
